Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
the,thee
trex,tracks
trex,tricks
already,artie
OoCTO,octa
mongo,mungo
tech,te
but,butt
new,nu
for,fore
SaaS,sass
read,reid
read,reed
grep,grip
hey,hay
pop,pup
I'll,isle
sync,sink
ubersmith,coopersmith
WAN,juan
SaaS,sas
core,kor
core,corps
melt,milt
cat,catt
DNS,ds
byte,bite
bytes,bites
add,ad
layer,laer

